freq_hz,mag_db
4.75561,32.83471
126.00527,32.83471
272.43755,34.0498
405.81217,37.60504
472.96582,43.27544
504.67727,49.12584
520.533,56.95639
520.533,67.08209
536.38872,80.76304
542.91755,71.85242
540.11948,62.49177
558.77327,49.44086
574.629,42.37537
625.92693,31.43961
676.29217,23.92409
702.40748,15.77853
714.53245,7.31794
736.917,-5.10292
734.11893,-9.42322
749.97466,8.39801
763.03231,14.87846
794.74376,20.99889
880.55121,27.47934
943.97411,33.14973
1001.80087,39.45017
1042.83921,48.4958
1058.69493,55.87631
1065.22376,63.57185
1071.75259,71.71741
1071.75259,79.86298
1087.60831,67.71213
1087.60831,60.96166
1090.40638,52.8161
1116.52169,44.80554
1151.03121,39.13515
1211.65604,32.83471
1339.43452,26.08424
1466.28032,21.44892
1686.39508,14.69845
1832.82736,9.47809
1947.54819,4.39274
2026.82681,-1.72769
2103.30736,-6.81304
2148.07647,-12.52844
2161.13412,-32.01479
2179.78791,-20.49399
2224.55702,-10.05327
2262.79729,-2.67276
2329.95095,2.4126
2495.03702,10.82818
2661.05578,18.97375
2756.19013,27.11931
2787.90158,35.12987
2778.57468,42.64539
2803.7573,29.7295
2855.05523,20.23384
2912.88199,13.16835
2960.44917,5.92284
2994.95868,-3.43781
3014.54517,-12.21342
3001.48751,-22.0241
3049.05468,-1.27766
3100.35262,8.08299
3199.21772,15.91354
3275.69827,22.84402
3329.79427,28.96444
3358.70765,35.5799
3399.746,26.03924
3447.31317,18.65873
3571.3609,9.92812
3670.226,3.31266
3728.05276,-2.53775
3794.27373,-10.68331
3804.53331,-16.48871
3852.10049,-6.04799
3870.75428,1.78255
3922.05221,7.76797
3978.94628,15.28349
4027.44614,20.50385
4081.54215,26.9843
4122.58049,38.19008
4154.29194,27.56935
4234.50325,19.28877
4310.9838,14.51844
4463.94491,9.29808
4565.60808,6.37287
4718.56919,3.9427
4878.05912,1.60254
5002.10685,1.0175
