freq_hz,mag_db
14.26724,17.12024
129.62392,17.03928
252.80139,18.21324
355.44929,19.99443
428.76921,22.30187
474.71636,25.82376
509.90993,31.81502
536.3051,41.77347
540.2155,55.78006
548.03629,46.5098
563.67787,37.3205
575.40906,29.87191
609.62502,22.38284
682.94495,13.31498
733.7801,6.19024
767.99606,1.2515
793.41363,-5.87324
791.45844,-20.89187
787.54804,-29.51442
821.764,-15.38639
835.45039,-6.03516
866.73356,1.81824
908.77031,6.51409
991.86623,15.13665
1037.81338,21.53272
1061.27576,29.34565
1071.05175,40.76143
1069.09655,48.65532
1080.82774,36.18702
1099.40212,27.56447
1140.46128,18.17276
1188.36363,10.80513
1247.99716,5.54254
1342.82427,-2.43231
1390.72662,-6.43998
1431.78578,-14.41483
1467.95694,-25.66868
1493.37451,-41.33502
1508.0385,-21.74198
1545.18726,-12.26931
1646.85755,-6.60191
1774.92302,-3.32291
1946.00284,-1.09642
2193.33539,0.27995
2391.78798,0.88717
2570.6886,0.52284
2671.3813,1.85872
2740.79082,7.04035
2774.02919,21.49224
2790.64837,29.75047
2814.11075,18.7395
2854.19231,14.32702
2912.84825,11.93861
3014.51854,11.93861
3165.06879,15.29858
3288.24626,22.94958
3349.835,31.81502
3377.20777,25.90472
3436.84131,14.48895
3552.19799,0.84669
3617.69712,-11.37872
3608.89873,-26.47831
3660.71147,-8.46405
3714.47942,-0.44872
3795.62014,5.46158
3909.02162,11.20995
4015.57991,17.60602
4069.34785,25.17606
4113.33981,35.09402
4160.26456,24.48787
4215.9877,17.28217
4350.89636,10.03598
4511.2226,5.6235
4720.42878,0.92765
4922.79177,-2.83713
5005.88769,-3.72772
